id_pedido,nombre_pedido,fecha_pedido,id_cliente,id_vendedor,monto_total,base_imponible,monto_impuestos,estado_pedido,estado_factura,id_lista_precios,id_plazo_pago,fecha_creacion,note_new,productos,impuestos
264589,SO264761,2025-06-30 13:53:53,13715,51,194143.0,162576.0,31567.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 16:52:00,<p><br></p>,"COCOSETTE MAXI 8 PACK (8 X 12 X 46gr) (SKU: GALL001) x0.0, $3285.00 | CAFE SELLO ROJO 212 gr X 20 UND (SKU: CAFE009) x20.0, $3770.00 | TÉ FRIO DURAZNO DEL MONTE 460 ml X 24 (SKU: BEBI050) x6.0, $627.00 | BOCADILLO GUAYABA BOMBONERA 100 UNIDADES X 6 (SKU: GOLO001) x1.0, $10597.00 | SALSA TOCINETA FRITZ 145gr x 12 UNID (SKU: SALS047) x6.0, $1932.00 | SALSA MAIZ FRITZ 145gr x 12 UNID (SKU: SALS045) x6.0, $1062.00 | PANELA LA CRIOLLA 454 gr X 4 (SKU: AZUC001) x6.0, $1209.00 | DALVITO CHEDDAR 200 GR X 12 UND (SKU: UNTA003) x6.0, $2879.00 | CASABE LA CRIOLLA NATURAL 220 GR X 25 UND (SKU: SNAC002) x5.0, $2031.00 | SALSA SOYA LA CHINA 150 ML X 12 UND (SKU: SALS011) x6.0, $1657.73 | FLIPS DULCE DE LECHE 220 GR X 24 UND (SKU: SNAC005) x6.0, $1704.00","Bebidas analcohólicas elevado contenido de azúcar 18%, IVA 19% Venta"
264590,SO264762,2025-06-30 13:52:55,18940,47,67604.0,56810.0,10794.0,done,to invoice,"[37, '5-FORANEO (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 16:53:33,<p><br></p>,"FLIPS CHOCOLATE 120 GR X 14 UND (SKU: SNAC003) x14.0, $998.00 | FLIPS DULCE LECHE 120 GR X 14 UND (SKU: SNAC006) x14.0, $998.00 | BUBBALOO CEREZA 47 UNIDADES (SKU: GOLO022) x1.0, $3295.00 | BUBBALOO FRUIT 47 UNIDADES (SKU: GOLO024) x1.0, $3295.00 | HARINA LA CRIOLLA 1 KG X 20 UND (SKU: HARI004) x10.0, $1076.00 | PIRULIN SACHET 24 UNIDADES X 24 gr (SKU: CHOC015) x1.0, $11516.00",IVA 19% Venta
264592,SO264764,2025-06-30 13:52:48,15432,49,241493.0,196784.0,44709.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[2, '5 DIAS CREDITO']",2025-06-27 17:02:45,<p>DESPACHAR ANTES DE LAS 4</p>,"CAFE SELLO ROJO 600 gr X 10 UND (SKU: CAFE008) x5.0, $7720.00 | CAFE SELLO ROJO 212 gr X 20 UND (SKU: CAFE009) x10.0, $3770.00 | FRESS KOLITA 355 ML X 24 UND (SKU: BEBI001) x24.0, $822.12 | MALTA REGIONAL BOTELLA 250 ML X 24 UND (SKU: BEBI021) x24.0, $753.00 | PANELADA X 64 X 29 gr (SKU: BPOL010) x10.0, $515.00 | DIABLITOS UNDERWOOD 115 GR X 12 UND (SKU: ENLA003) x6.0, $2515.00 | ADOBO LA COMADRE 200 GR X 24 UND (SKU: DESP002) x6.0, $2419.00 | BOCADILLO TRICOLOR BOMBONERA 50 UNIDADES X 6 (SKU: GOLO016) x1.0, $16652.00 | BOCADILLO GUAYABA BOMBONERA 50 BIJAO UNIDADES X 6 (SKU: GOLO020) x1.0, $11614.00 | BUBBALOO CEREZA 47 UNIDADES (SKU: GOLO022) x1.0, $3138.00 | BUBBALOO FRESA 47 UNIDADES (SKU: GOLO023) x1.0, $3138.00 | BUBBALOO FRUIT 47 UNIDADES (SKU: GOLO024) x1.0, $3138.00 | CHUPETA SUPERCOCO BOMBONERA 48 UNIDADES (SKU: GOLO007) x1.0, $6161.00 | BOLSA ASEO GRANDE 80X110 (20X10) (SKU: ASEO005) x3.0, $1362.00","Agua Mineral y Bebidas analcohólicas 10%, Bebidas analcohólicas elevado contenido de azúcar 18%, IVA 19% Venta"
264593,SO264765,2025-06-30 13:52:33,15432,49,150178.0,126200.0,23978.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[2, '5 DIAS CREDITO']",2025-06-27 17:05:51,<p>DESPACHAR ANTES DE LAS 4</p>,"FLIPS CHOCOLATE 120 GR X 14 UND (SKU: SNAC003) x14.0, $950.00 | FLIPS DULCE LECHE 120 GR X 14 UND (SKU: SNAC006) x14.0, $950.00 | FLIPS CHOCOLATE 220 GR X 24 UND (SKU: SNAC004) x6.0, $1704.00 | FLIPS DULCE DE LECHE 220 GR X 24 UND (SKU: SNAC005) x6.0, $1704.00 | CASABE LA CRIOLLA NATURAL 220 GR X 25 UND (SKU: SNAC002) x5.0, $2031.00 | NUCITA TUBITO 35 gr x 12 (SKU: CHOC042) x1.0, $16162.00 | PIRULIN 155gr X 24 UND (SKU: CHOC014) x6.0, $3133.00 | GALLETA MARIA PUIG 1 PAQUETE X 168 GR ( 24 DISPLAY ) (SKU: GALL005) x3.0, $1566.00 | GALLETA MARILU CHOCOLATE 1 PAQ X 216 GR ( 24 DISPLAY ) (SKU: GALL006) x3.0, $2268.00 | GALLETA MARILU VAINILLA 1PAQ X 216 GR ( 24 DISPLAY ) (SKU: GALL007) x3.0, $2268.00 | GALLETA SODA PUIG 1 PAQ X 240 GR ( 24 DISPLAY ) (SKU: GALL009) x3.0, $1827.00 | HARINA LA CRIOLLA 1 KG X 20 UND (SKU: HARI004) x10.0, $1025.00",IVA 19% Venta
264630,SO264802,2025-06-30 13:52:25,13900,33,75056.0,63072.0,11984.0,done,to invoice,"[37, '5-FORANEO (CLP)']","[8, 'CONTADO CHEQUES']",2025-06-27 18:14:26,<p><br></p>,"HARINA CACHAPA LA CRIOLLA 500gr X 24 (SKU: HARI002) x48.0, $1314.00",IVA 19% Venta
264595,SO264767,2025-06-30 13:52:11,19762,49,24759.0,18072.0,6687.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 17:10:01,<p>DESPACHAR ANTES DE LAS 12PM</p>,"MALTA REGIONAL BOTELLA 250 ML X 24 UND (SKU: BEBI021) x24.0, $753.00","Bebidas analcohólicas elevado contenido de azúcar 18%, IVA 19% Venta"
264603,SO264775,2025-06-30 13:51:46,21028,19,242440.0,203212.0,39228.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 17:22:25,"<p>TRANSPORTES MASS
FACTURA 1/2</p>","DIABLITOS PLUMROSE 115 GR X 12 UND (SKU: ENLA001) x12.0, $2291.00 | DIABLITOS PLUMROSE 55 GR X 24 UND (SKU: ENLA002) x24.0, $1140.00 | CASABE LA CRIOLLA NATURAL 220 GR X 25 UND (SKU: SNAC002) x5.0, $2031.00 | PIRULIN SACHET 24 UNIDADES X 24 gr (SKU: CHOC015) x2.0, $10968.00 | PIRULIN 300gr X 24 UND (SKU: CHOC024) x6.0, $4602.00 | BOCADILLO GUAYABA BOMBONERA 100 UNIDADES X 6 (SKU: GOLO001) x1.0, $10597.00 | FLIPS CHOCOLATE 220 GR X 24 UND (SKU: SNAC004) x24.0, $1704.00 | GALLETA MARILU CHOCOLATE 1 PAQ X 216 GR ( 24 DISPLAY ) (SKU: GALL006) x6.0, $2268.00 | PANELADA X 64 X 29 gr (SKU: BPOL010) x12.0, $515.00 | CHOCOLATE JET 11 gr X 24 Unidades (SKU: CHOC005) x1.0, $5826.00 | PAPAS HILO 200 gr X 50 (SKU: SNAC028) x10.0, $1155.00","Agua Mineral y Bebidas analcohólicas 10%, IVA 19% Venta"
264600,SO264772,2025-06-30 13:51:38,11799,49,97791.0,79444.0,18347.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[2, '5 DIAS CREDITO']",2025-06-27 17:20:51,<p>DESPACHO A PARTIR DE LAS 10AM</p>,"BOCADILLO GUAYABA BOMBONERA 100 UNIDADES X 6 (SKU: GOLO001) x1.0, $10597.00 | MALTA REGIONAL BOTELLA 250 ML X 24 UND (SKU: BEBI021) x24.0, $753.00 | CASABE LA CRIOLLA NATURAL 220 GR X 25 UND (SKU: SNAC002) x25.0, $2031.00","Bebidas analcohólicas elevado contenido de azúcar 18%, IVA 19% Venta"
264597,SO264769,2025-06-30 13:51:31,3707,48,31654.0,26600.0,5054.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[2, '5 DIAS CREDITO']",2025-06-27 17:17:13,<p><br></p>,"HARINA LA CRIOLLA 500 gr X 24 UND (SKU: HARI007) x0.0, $468.00 | FLIPS CHOCOLATE 120 GR X 14 UND (SKU: SNAC003) x14.0, $950.00 | FLIPS DULCE LECHE 120 GR X 14 UND (SKU: SNAC006) x14.0, $950.00",IVA 19% Venta
264601,SO264773,2025-06-30 13:51:11,15981,51,44863.0,37700.0,7163.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 17:20:56,<p><br></p>,"CAFE SELLO ROJO 212 gr X 20 UND (SKU: CAFE009) x10.0, $3770.00",IVA 19% Venta
264604,SO264776,2025-06-30 13:51:03,21028,19,12748.0,10713.0,2035.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 17:22:26,"<p>TRANSPORTE MASS
FACTURA 2/2</p>","CARAMELO RICATO 400gr X 50 UN (SKU: GOLO006) x2.0, $2276.00 | CHUPETA SUPERCOCO BOMBONERA 48 UNIDADES (SKU: GOLO007) x1.0, $6161.00",IVA 19% Venta
264613,SO264785,2025-06-30 13:50:50,3934,9,174551.0,143912.0,30639.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 17:36:46,<p><br></p>,"HARINA CACHAPA LA CRIOLLA 500gr X 24 (SKU: HARI002) x24.0, $1251.00 | BON ICE FRESA 52 ml X 12 UNIDADES (SKU: BEBI041) x12.0, $218.00 | BON ICE MARACUYÁ 52 ml X 12 UNIDADES (SKU: BEBI042) x12.0, $218.00 | PIRULIN SACHET 24 UNIDADES X 24 gr (SKU: CHOC015) x1.0, $10968.00 | PANELADA X 64 X 29 gr (SKU: BPOL010) x64.0, $515.00 | DALVITO CHEDDAR 200 GR X 12 UND (SKU: UNTA003) x12.0, $2879.00 | DIABLITOS UNDERWOOD 115 GR X 12 UND (SKU: ENLA003) x12.0, $2515.00","Agua Mineral y Bebidas analcohólicas 10%, IVA 19% Venta"
264606,SO264778,2025-06-30 13:50:43,15148,51,56451.0,47438.0,9013.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[2, '5 DIAS CREDITO']",2025-06-27 17:23:37,<p><br></p>,"CARAMELO RICATO 400gr X 50 UN (SKU: GOLO006) x2.0, $2276.00 | PAPAS KRYZPO ORIGINAL 37 GR X 6 UNID (SKU: SNAC031) x6.0, $589.00 | PAPAS KRYZPO QUESO 37 GR X 6 UNID (SKU: SNAC032) x6.0, $589.00 | PLATANO CON SAL 85gr X 20 UND (SKU: SNAC009) x10.0, $1527.00 | SALSA SOYA LA CHINA 150 ML X 12 UND (SKU: SALS011) x6.0, $1657.73 | SALSA AJI PICANTE LA CHINA 150 X 24 UND (SKU: SALS036) x6.0, $1767.00",IVA 19% Venta
264626,SO264798,2025-06-30 13:50:36,21126,10,165841.0,139362.0,26479.0,done,to invoice,"[35, '3-GENERAL (CLP)']","[1, 'CONTADO EFECTIVO']",2025-06-27 18:06:13,<p><br></p>,"CAFE SELLO ROJO 600 gr X 10 UND (SKU: CAFE008) x10.0, $7720.00 | CAFE SELLO ROJO 212 gr X 20 UND (SKU: CAFE009) x10.0, $3770.00 | DIABLITOS UNDERWOOD 115 GR X 12 UND (SKU: ENLA003) x6.0, $2515.00 | DIABLITOS UNDERWOOD 54 GR X 24 UND (SKU: ENLA004) x6.0, $1562.00",IVA 19% Venta
